OrderID,DateKey,ClientID,SKUID,WarehouseID,Quantity,Revenue,COGS,FulfillmentCost,OrderDate,ShipDate,DeliveryDate,PromisedDeliveryDate
88,20250127,11,41,1,5,5845.5,4079.75,938.69,2025-01-27,2025-01-28,2025-01-30,2025-02-01
89,20250128,11,12,4,4,18467.28,15135.16,5282.78,2025-01-28,2025-01-29,2025-01-31,2025-02-02
90,20250128,3,5,4,4,3159.88,1878.12,680.24,2025-01-28,2025-01-29,2025-02-01,2025-02-03
91,20250128,8,17,1,2,1631.32,1412.42,229.0,2025-01-28,2025-01-31,2025-02-02,2025-02-04
92,20250128,11,22,2,3,2839.8,1305.27,557.22,2025-01-28,2025-01-29,2025-01-31,2025-02-02
93,20250128,3,32,4,3,7640.13,5369.46,2153.17,2025-01-28,2025-01-29,2025-02-02,2025-02-03
94,20250128,3,35,2,1,3249.61,2336.97,568.05,2025-01-28,2025-01-30,2025-02-01,2025-02-03
95,20250128,3,45,2,4,7020.92,4547.76,1211.4,2025-01-28,2025-01-31,2025-02-02,2025-02-03
96,20250128,11,51,5,1,705.02,432.25,140.83,2025-01-28,2025-01-29,2025-02-01,2025-02-02
97,20250128,11,11,5,2,8259.46,6433.54,1733.45,2025-01-28,2025-01-30,2025-02-01,2025-02-02
98,20250128,3,5,1,3,2369.91,1408.59,340.79,2025-01-28,2025-01-31,2025-02-02,2025-02-03
99,20250128,3,44,2,3,5288.19,3957.03,1017.03,2025-01-28,2025-01-30,2025-02-02,2025-02-03
100,20250128,11,18,1,1,2029.49,1802.25,261.13,2025-01-28,2025-01-29,2025-02-01,2025-02-02
101,20250128,8,14,5,3,11542.89,8952.54,2320.78,2025-01-28,2025-02-02,2025-02-04,2025-02-04
102,20250128,3,55,1,2,20940.1,14914.08,3516.69,2025-01-28,2025-01-29,2025-01-31,2025-02-03
103,20250128,11,55,5,3,31410.15,22371.12,6343.09,2025-01-28,2025-01-29,2025-01-31,2025-02-02
104,20250128,3,46,4,2,2529.84,1796.12,688.19,2025-01-28,2025-01-29,2025-01-31,2025-02-03
105,20250128,3,16,4,1,3900.32,3098.08,934.39,2025-01-28,2025-01-29,2025-01-31,2025-02-03
106,20250128,3,40,5,1,3395.91,2638.87,608.31,2025-01-28,2025-02-02,2025-02-05,2025-02-03
107,20250128,3,21,3,4,1371.24,725.32,230.72,2025-01-28,2025-01-29,2025-01-31,2025-02-03
108,20250128,11,38,1,2,7681.88,5986.1,1128.99,2025-01-28,2025-01-31,2025-02-02,2025-02-02
109,20250128,3,20,1,3,2262.66,980.13,383.66,2025-01-28,2025-01-29,2025-02-02,2025-02-03
110,20250129,2,17,1,5,4078.3,3531.05,570.35,2025-01-29,2025-01-31,2025-02-03,2025-02-03
111,20250129,2,33,3,5,10238.45,7071.25,1971.13,2025-01-29,2025-01-30,2025-02-02,2025-02-03
112,20250129,2,3,5,5,5295.5,2683.75,935.11,2025-01-29,2025-01-30,2025-02-02,2025-02-03
113,20250129,11,2,3,5,3206.2,1698.0,510.66,2025-01-29,2025-02-03,2025-02-05,2025-02-03
114,20250129,11,26,2,1,3030.87,1982.19,640.47,2025-01-29,2025-01-30,2025-02-01,2025-02-03
115,20250129,8,14,2,2,7695.26,5968.36,1452.52,2025-01-29,2025-01-31,2025-02-03,2025-02-05
116,20250129,3,49,2,5,11638.45,7199.8,2052.69,2025-01-29,2025-01-30,2025-02-01,2025-02-04
117,20250129,8,16,1,1,3900.32,3098.08,548.23,2025-01-29,2025-01-30,2025-02-02,2025-02-05
118,20250129,3,53,2,5,15067.0,11961.9,3213.3,2025-01-29,2025-01-30,2025-02-01,2025-02-04
119,20250129,8,32,5,4,10186.84,7159.28,1658.63,2025-01-29,2025-02-01,2025-02-04,2025-02-05
120,20250129,8,39,5,4,9805.2,6732.56,1743.24,2025-01-29,2025-01-30,2025-02-01,2025-02-05
121,20250129,3,57,2,3,6723.9,5349.21,1451.23,2025-01-29,2025-01-30,2025-02-01,2025-02-04
122,20250129,2,25,3,5,2191.0,1112.05,347.86,2025-01-29,2025-02-03,2025-02-06,2025-02-03
123,20250129,2,9,5,4,4181.36,2632.4,764.24,2025-01-29,2025-02-03,2025-02-06,2025-02-03
124,20250129,3,13,3,4,23144.72,19516.08,3934.69,2025-01-29,2025-01-30,2025-02-01,2025-02-04
125,20250129,8,34,2,5,4951.3,3857.35,1107.05,2025-01-29,2025-01-30,2025-02-03,2025-02-05
126,20250129,3,26,5,3,9092.61,5946.57,1776.17,2025-01-29,2025-01-30,2025-02-02,2025-02-04
127,20250129,8,46,3,4,5059.68,3592.24,941.62,2025-01-29,2025-01-30,2025-02-02,2025-02-05
128,20250129,11,2,3,3,1923.72,1018.8,372.86,2025-01-29,2025-01-31,2025-02-03,2025-02-03
129,20250129,8,11,3,5,20648.65,16083.85,3799.45,2025-01-29,2025-01-30,2025-02-03,2025-02-05
130,20250130,2,13,1,3,17358.54,14637.06,2540.34,2025-01-30,2025-01-31,2025-02-02,2025-02-04
131,20250130,8,56,4,1,6685.4,5192.61,1774.53,2025-01-30,2025-01-31,2025-02-03,2025-02-06
132,20250130,11,31,3,3,3247.02,1976.01,627.62,2025-01-30,2025-01-31,2025-02-03,2025-02-04
133,20250130,11,50,5,3,2411.04,1627.23,473.23,2025-01-30,2025-01-31,2025-02-02,2025-02-04
134,20250130,8,21,3,5,1714.05,906.65,329.3,2025-01-30,2025-02-01,2025-02-03,2025-02-06
135,20250130,2,37,3,4,10283.96,7668.76,1955.84,2025-01-30,2025-01-31,2025-02-02,2025-02-04
136,20250130,3,19,1,1,1017.68,533.24,145.62,2025-01-30,2025-01-31,2025-02-02,2025-02-05
137,20250130,8,14,1,5,19238.15,14920.9,2687.59,2025-01-30,2025-01-31,2025-02-02,2025-02-06
138,20250130,2,40,4,2,6791.82,5277.74,1566.77,2025-01-30,2025-02-01,2025-02-04,2025-02-04
139,20250130,11,15,1,4,17039.84,13133.36,2425.85,2025-01-30,2025-01-31,2025-02-03,2025-02-04
140,20250130,3,1,5,2,694.08,438.14,128.19,2025-01-30,2025-02-02,2025-02-06,2025-02-05
141,20250130,8,42,1,3,7883.73,5851.98,1119.12,2025-01-30,2025-02-01,2025-02-05,2025-02-06
142,20250130,2,42,3,5,13139.55,9753.3,2393.67,2025-01-30,2025-02-02,2025-02-04,2025-02-04
143,20250130,3,27,5,2,3852.3,2493.62,827.22,2025-01-30,2025-01-31,2025-02-04,2025-02-05
144,20250130,8,12,5,3,13850.46,11351.37,2929.02,2025-01-30,2025-01-31,2025-02-03,2025-02-06
145,20250130,2,22,2,5,4733.0,2175.45,953.51,2025-01-30,2025-02-02,2025-02-04,2025-02-04
146,20250130,8,18,1,1,2029.49,1802.25,288.96,2025-01-30,2025-02-01,2025-02-04,2025-02-06
147,20250130,3,1,4,3,1041.12,657.21,265.57,2025-01-30,2025-02-01,2025-02-03,2025-02-05
148,20250130,11,58,2,4,43332.92,31589.0,8706.31,2025-01-30,2025-01-31,2025-02-03,2025-02-04
149,20250130,3,9,3,2,2090.68,1316.2,302.83,2025-01-30,2025-01-31,2025-02-02,2025-02-05
150,20250130,11,24,4,1,846.54,417.49,222.29,2025-01-30,2025-01-31,2025-02-02,2025-02-04
151,20250130,11,33,5,3,6143.07,4242.75,1233.81,2025-01-30,2025-02-01,2025-02-05,2025-02-04
152,20250130,3,31,1,5,5411.7,3293.35,780.98,2025-01-30,2025-02-01,2025-02-05,2025-02-05
153,20250130,11,53,1,2,6026.8,4784.76,952.93,2025-01-30,2025-01-31,2025-02-03,2025-02-04
154,20250130,8,34,4,1,990.26,771.47,278.55,2025-01-30,2025-01-31,2025-02-04,2025-02-06
155,20250130,3,11,2,5,20648.65,16083.85,4057.68,2025-01-30,2025-02-01,2025-02-04,2025-02-05
156,20250130,8,6,5,4,5793.04,2886.32,1202.61,2025-01-30,2025-01-31,2025-02-03,2025-02-06
157,20250131,8,37,1,4,10283.96,7668.76,1622.55,2025-01-31,2025-02-01,2025-02-03,2025-02-07
158,20250131,2,3,2,1,1059.1,536.75,214.44,2025-01-31,2025-02-01,2025-02-05,2025-02-05
159,20250131,8,3,2,2,2118.2,1073.5,457.82,2025-01-31,2025-02-02,2025-02-09,2025-02-07
160,20250131,11,27,2,4,7704.6,4987.24,1517.13,2025-01-31,2025-02-03,2025-02-05,2025-02-05
161,20250131,2,44,5,5,8813.65,6595.05,1490.22,2025-01-31,2025-02-03,2025-02-05,2025-02-05
162,20250131,3,47,5,1,1409.1,1033.25,288.3,2025-01-31,2025-02-05,2025-02-07,2025-02-06
163,20250131,8,23,1,2,1508.46,883.54,255.96,2025-01-31,2025-02-02,2025-02-04,2025-02-07
164,20250131,11,27,3,1,1926.15,1246.81,301.97,2025-01-31,2025-02-01,2025-02-04,2025-02-05
165,20250131,8,39,3,1,2451.3,1683.14,384.81,2025-01-31,2025-02-01,2025-02-03,2025-02-07
166,20250131,3,33,5,2,4095.38,2828.5,851.84,2025-01-31,2025-02-02,2025-02-04,2025-02-06
167,20250131,11,53,2,3,9040.2,7177.14,2012.13,2025-01-31,2025-02-05,2025-02-08,2025-02-05
168,20250131,3,41,3,5,5845.5,4079.75,992.43,2025-01-31,2025-02-05,2025-02-09,2025-02-06
169,20250131,11,25,4,3,1314.6,667.23,348.01,2025-01-31,2025-02-01,2025-02-03,2025-02-05
170,20250131,3,49,3,2,4655.38,2879.92,874.36,2025-01-31,2025-02-01,2025-02-04,2025-02-06
171,20250131,8,59,1,4,13152.84,10704.68,2249.8,2025-01-31,2025-02-01,2025-02-03,2025-02-07
172,20250131,11,6,5,3,4344.78,2164.74,724.58,2025-01-31,2025-02-02,2025-02-04,2025-02-05
173,20250131,11,39,3,1,2451.3,1683.14,377.74,2025-01-31,2025-02-02,2025-02-05,2025-02-05
174,20250131,8,14,5,3,11542.89,8952.54,2063.66,2025-01-31,2025-02-03,2025-02-05,2025-02-07
175,20250201,2,48,5,4,4488.32,3060.76,958.81,2025-02-01,2025-02-03,2025-02-06,2025-02-06
176,20250201,8,35,3,3,9748.83,7010.91,1538.75,2025-02-01,2025-02-02,2025-02-04,2025-02-08
177,20250201,2,52,5,4,35622.84,27566.76,7299.58,2025-02-01,2025-02-02,2025-02-04,2025-02-06
178,20250201,3,2,2,5,3206.2,1698.0,656.46,2025-02-01,2025-02-02,2025-02-04,2025-02-07
179,20250201,8,36,3,3,9550.62,7026.72,1505.4,2025-02-01,2025-02-03,2025-02-10,2025-02-08
180,20250201,11,48,3,2,2244.16,1530.38,408.15,2025-02-01,2025-02-02,2025-02-04,2025-02-06
181,20250201,8,12,5,5,23084.1,18918.95,5031.14,2025-02-01,2025-02-06,2025-02-09,2025-02-08
182,20250201,2,53,3,1,3013.4,2392.38,498.81,2025-02-01,2025-02-03,2025-02-05,2025-02-06
183,20250201,3,1,1,4,1388.16,876.28,200.3,2025-02-01,2025-02-03,2025-02-06,2025-02-07
184,20250202,8,43,3,1,1469.13,887.85,252.17,2025-02-02,2025-02-03,2025-02-05,2025-02-09
185,20250202,11,28,4,2,5469.86,3465.7,1206.25,2025-02-02,2025-02-03,2025-02-05,2025-02-07
186,20250202,2,24,5,4,3386.16,1669.96,655.92,2025-02-02,2025-02-07,2025-02-09,2025-02-07
187,20250202,11,53,4,1,3013.4,2392.38,661.48,2025-02-02,2025-02-03,2025-02-06,2025-02-07
188,20250202,11,1,4,1,347.04,219.07,86.76,2025-02-02,2025-02-03,2025-02-06,2025-02-07
189,20250203,2,58,3,1,10833.23,7897.25,1692.35,2025-02-03,2025-02-06,2025-02-09,2025-02-08
190,20250203,8,18,1,1,2029.49,1802.25,321.27,2025-02-03,2025-02-04,2025-02-07,2025-02-10
191,20250203,11,3,1,3,3177.3,1610.25,407.34,2025-02-03,2025-02-04,2025-02-06,2025-02-08
192,20250203,2,20,1,2,1508.44,653.42,230.79,2025-02-03,2025-02-05,2025-02-08,2025-02-08
193,20250203,3,51,5,1,705.02,432.25,133.99,2025-02-03,2025-02-08,2025-02-10,2025-02-09
194,20250203,2,22,3,5,4733.0,2175.45,914.41,2025-02-03,2025-02-04,2025-02-07,2025-02-08
195,20250203,11,18,4,4,8117.96,7209.0,2023.77,2025-02-03,2025-02-04,2025-02-08,2025-02-08
196,20250203,3,44,3,4,7050.92,5276.04,1049.67,2025-02-03,2025-02-05,2025-02-08,2025-02-09
197,20250203,2,6,2,4,5793.04,2886.32,1232.18,2025-02-03,2025-02-05,2025-02-08,2025-02-08
198,20250203,2,6,1,3,4344.78,2164.74,640.91,2025-02-03,2025-02-05,2025-02-07,2025-02-08
199,20250203,2,12,2,5,23084.1,18918.95,4692.64,2025-02-03,2025-02-04,2025-02-06,2025-02-08
200,20250203,2,39,3,3,7353.9,5049.42,1386.58,2025-02-03,2025-02-04,2025-02-06,2025-02-08
201,20250203,2,47,5,2,2818.2,2066.5,547.02,2025-02-03,2025-02-04,2025-02-06,2025-02-08
202,20250203,3,18,2,4,8117.96,7209.0,1451.13,2025-02-03,2025-02-04,2025-02-06,2025-02-09
203,20250203,8,51,1,3,2115.06,1296.75,359.54,2025-02-03,2025-02-05,2025-02-07,2025-02-10
204,20250203,8,7,1,1,523.1,295.8,89.03,2025-02-03,2025-02-04,2025-02-07,2025-02-10
205,20250204,8,22,2,5,4733.0,2175.45,843.27,2025-02-04,2025-02-05,2025-02-09,2025-02-11
206,20250204,8,21,1,4,1371.24,725.32,234.61,2025-02-04,2025-02-05,2025-02-08,2025-02-11
207,20250204,8,37,4,3,7712.97,5751.57,1856.54,2025-02-04,2025-02-06,2025-02-08,2025-02-11
208,20250204,2,37,1,5,12854.95,9585.95,1743.09,2025-02-04,2025-02-06,2025-02-08,2025-02-09
209,20250204,8,46,1,3,3794.76,2694.18,625.79,2025-02-04,2025-02-05,2025-02-09,2025-02-11
210,20250204,11,32,1,3,7640.13,5369.46,1057.32,2025-02-04,2025-02-06,2025-02-09,2025-02-09
211,20250204,2,29,5,4,3700.44,2757.52,720.43,2025-02-04,2025-02-05,2025-02-09,2025-02-09
212,20250204,11,59,1,2,6576.42,5352.34,1033.1,2025-02-04,2025-02-05,2025-02-08,2025-02-09
213,20250204,11,44,3,3,5288.19,3957.03,1024.6,2025-02-04,2025-02-05,2025-02-07,2025-02-09
214,20250204,8,24,2,5,4232.7,2087.45,894.9,2025-02-04,2025-02-05,2025-02-12,2025-02-11
215,20250204,8,7,2,1,523.1,295.8,92.57,2025-02-04,2025-02-07,2025-02-09,2025-02-11
216,20250204,8,51,1,4,2820.08,1729.0,403.76,2025-02-04,2025-02-05,2025-02-08,2025-02-11
217,20250204,8,21,1,1,342.81,181.33,56.21,2025-02-04,2025-02-05,2025-02-09,2025-02-11
218,20250204,11,7,3,2,1046.2,591.6,200.79,2025-02-04,2025-02-06,2025-02-09,2025-02-09
219,20250204,3,22,3,4,3786.4,1740.36,591.91,2025-02-04,2025-02-05,2025-02-07,2025-02-10
220,20250204,11,43,2,1,1469.13,887.85,314.75,2025-02-04,2025-02-07,2025-02-09,2025-02-09
221,20250205,7,1,4,2,694.08,438.14,161.98,2025-02-05,2025-02-07,2025-02-10,2025-02-12
222,20250205,2,52,5,2,17811.42,13783.38,3247.92,2025-02-05,2025-02-06,2025-02-08,2025-02-10
223,20250205,11,56,3,3,20056.2,15577.83,3508.74,2025-02-05,2025-02-07,2025-02-10,2025-02-10
224,20250205,8,40,1,3,10187.73,7916.61,1720.1,2025-02-05,2025-02-06,2025-02-09,2025-02-12
225,20250205,2,16,2,2,7800.64,6196.16,1500.83,2025-02-05,2025-02-06,2025-02-08,2025-02-10
226,20250205,3,37,2,2,5141.98,3834.38,1024.28,2025-02-05,2025-02-06,2025-02-10,2025-02-11
227,20250205,3,36,1,3,9550.62,7026.72,1278.0,2025-02-05,2025-02-06,2025-02-08,2025-02-11
228,20250205,8,9,1,4,4181.36,2632.4,714.48,2025-02-05,2025-02-06,2025-02-08,2025-02-12
229,20250205,11,32,2,4,10186.84,7159.28,2030.46,2025-02-05,2025-02-06,2025-02-08,2025-02-10
230,20250205,3,50,2,4,3214.72,2169.64,652.54,2025-02-05,2025-02-06,2025-02-08,2025-02-11
231,20250205,8,35,1,4,12998.44,9347.88,1717.21,2025-02-05,2025-02-07,2025-02-10,2025-02-12
232,20250205,8,17,2,1,815.66,706.21,160.15,2025-02-05,2025-02-10,2025-02-13,2025-02-12
233,20250205,11,28,1,2,5469.86,3465.7,890.59,2025-02-05,2025-02-07,2025-02-11,2025-02-10
234,20250206,3,21,5,3,1028.43,543.99,183.05,2025-02-06,2025-02-07,2025-02-11,2025-02-12
235,20250206,11,53,1,4,12053.6,9569.52,2035.19,2025-02-06,2025-02-11,2025-02-15,2025-02-11
236,20250206,3,45,5,2,3510.46,2273.88,596.2,2025-02-06,2025-02-07,2025-02-09,2025-02-12
237,20250206,11,26,3,5,15154.35,9910.95,2678.57,2025-02-06,2025-02-08,2025-02-10,2025-02-11
238,20250206,2,41,4,1,1169.1,815.95,283.76,2025-02-06,2025-02-08,2025-02-11,2025-02-11
239,20250206,8,32,2,1,2546.71,1789.82,565.71,2025-02-06,2025-02-08,2025-02-10,2025-02-13
240,20250206,8,41,3,3,3507.3,2447.85,658.87,2025-02-06,2025-02-08,2025-02-10,2025-02-13
241,20250206,7,53,1,3,9040.2,7177.14,1283.97,2025-02-06,2025-02-07,2025-02-10,2025-02-13
242,20250206,3,37,5,3,7712.97,5751.57,1638.75,2025-02-06,2025-02-08,2025-02-10,2025-02-12
243,20250206,11,51,4,1,705.02,432.25,156.39,2025-02-06,2025-02-09,2025-02-11,2025-02-11
244,20250206,7,13,5,2,11572.36,9758.04,2450.82,2025-02-06,2025-02-07,2025-02-11,2025-02-13
245,20250206,2,42,2,1,2627.91,1950.66,505.38,2025-02-06,2025-02-09,2025-02-11,2025-02-11
246,20250206,7,41,2,2,2338.2,1631.9,457.71,2025-02-06,2025-02-07,2025-02-09,2025-02-13
