OrderID,CostTypeID,Amount
79,2,374.73
79,3,281.18
79,4,414.29
79,5,81.65
80,1,150.09
80,2,89.54
80,3,63.44
80,4,111.79
80,5,21.96
81,1,142.07
81,2,80.88
81,3,61.1
81,4,102.01
81,5,21.68
82,1,826.92
82,2,472.56
82,3,377.35
82,4,595.14
82,5,136.27
83,1,1135.12
83,2,572.53
83,3,449.53
83,4,746.28
83,5,146.1
84,1,38.8
84,2,19.29
84,3,15.91
84,4,26.78
84,5,5.08
85,1,221.64
85,2,128.97
85,3,90.02
85,4,179.01
85,5,32.98
86,1,508.61
86,2,259.0
86,3,209.79
86,4,373.16
86,5,76.02
87,1,177.29
87,2,96.38
87,3,73.63
87,4,128.55
87,5,24.37
88,1,303.1
88,2,198.45
88,3,138.7
88,4,252.4
88,5,46.04
89,1,1783.8
89,2,1062.43
89,3,880.85
89,4,1274.48
89,5,281.22
90,1,234.88
90,2,126.75
90,3,103.4
90,4,181.67
90,5,33.54
91,1,81.8
91,2,45.91
91,3,32.59
91,4,57.36
91,5,11.34
92,1,207.15
92,2,102.34
92,3,85.43
92,4,134.23
92,5,28.07
93,1,773.44
93,2,412.67
93,3,290.81
93,4,567.58
93,5,108.67
94,1,202.26
94,2,116.6
94,3,84.86
94,4,136.81
94,5,27.52
95,1,461.63
95,2,226.36
95,3,165.91
95,4,295.59
95,5,61.91
96,1,52.58
96,2,25.26
96,3,20.15
96,4,36.31
96,5,6.53
97,1,565.0
97,2,368.89
97,3,268.47
97,4,446.41
97,5,84.68
98,1,110.46
98,2,72.87
98,3,51.81
98,4,89.01
98,5,16.64
99,1,365.35
99,2,196.03
99,3,161.32
99,4,240.62
99,5,53.71
100,1,89.49
100,2,49.65
100,3,39.24
100,4,69.02
100,5,13.73
101,1,841.6
101,2,484.43
101,3,323.47
101,4,547.47
101,5,123.81
102,1,1179.98
102,2,705.2
102,3,564.06
102,4,875.88
102,5,191.57
103,1,2189.14
103,2,1191.78
103,3,1010.91
103,4,1616.64
103,5,334.62
104,1,239.27
104,2,139.19
104,3,98.92
104,4,171.96
104,5,38.85
105,1,325.97
105,2,180.09
105,3,135.44
105,4,248.49
105,5,44.4
106,1,214.99
106,2,115.56
106,3,87.94
106,4,157.4
106,5,32.42
107,1,80.32
107,2,45.15
107,3,36.59
107,4,57.45
107,5,11.21
108,1,413.42
108,2,223.51
108,3,157.13
108,4,278.6
108,5,56.33
109,1,137.43
109,2,72.12
109,3,59.99
109,4,96.13
109,5,17.99
110,1,198.33
110,2,121.34
110,3,83.36
110,4,137.94
110,5,29.38
111,1,707.05
111,2,409.44
111,3,291.41
111,4,460.85
111,5,102.38
112,1,315.26
112,2,194.4
112,3,144.7
112,4,236.26
112,5,44.49
113,1,169.06
113,2,107.46
113,3,80.82
113,4,128.57
113,5,24.75
114,1,231.31
114,2,128.01
114,3,100.41
114,4,151.74
114,5,29.0
115,1,503.98
115,2,287.12
115,3,221.68
115,4,365.11
115,5,74.63
116,1,713.13
116,2,445.57
116,3,301.91
116,4,492.0
116,5,100.08
117,1,187.59
117,2,103.97
117,3,86.99
117,4,141.36
117,5,28.32
118,1,1181.82
118,2,691.14
118,3,441.36
118,4,749.63
118,5,149.35
119,1,589.92
119,2,324.85
119,3,236.73
119,4,425.45
119,5,81.68
120,1,618.06
120,2,365.5
120,3,240.29
120,4,435.81
120,5,83.58
121,1,529.6
121,2,282.5
121,3,217.72
121,4,354.65
121,5,66.76
122,1,127.45
122,2,62.81
122,3,47.09
122,4,92.45
122,5,18.06
123,1,269.16
123,2,155.92
123,3,117.47
123,4,179.79
123,5,41.9
124,1,1409.09
124,2,746.32
124,3,597.82
124,4,999.83
124,5,181.63
125,1,415.58
125,2,215.73
125,3,165.25
125,4,255.46
125,5,55.03
126,1,650.8
126,2,317.96
126,3,277.95
126,4,450.12
126,5,79.34
127,1,330.65
127,2,195.78
127,3,134.67
127,4,231.47
127,5,49.05
128,1,129.35
128,2,74.24
128,3,53.16
128,4,95.42
128,5,20.69
129,1,1301.42
129,2,700.46
129,3,607.19
129,4,1003.25
129,5,187.13
130,1,895.46
130,2,488.59
130,3,374.82
130,4,650.41
130,5,131.06
131,1,570.31
131,2,387.89
131,3,243.5
131,4,479.21
131,5,93.62
132,1,222.01
132,2,126.07
132,3,99.07
132,4,146.93
132,5,33.54
133,1,162.04
133,2,96.57
133,3,69.62
133,4,122.25
133,5,22.75
134,1,114.77
134,2,71.54
134,3,48.36
134,4,77.12
134,5,17.51
135,1,694.73
135,2,366.68
135,3,300.66
135,4,504.28
135,5,89.49
136,1,49.72
136,2,29.97
136,3,20.69
136,4,38.05
136,5,7.19
137,1,982.82
137,2,561.63
137,3,383.53
137,4,623.24
137,5,136.37
138,1,563.31
138,2,320.4
138,3,230.43
138,4,374.02
138,5,78.61
139,1,805.82
139,2,514.96
139,3,384.64
139,4,593.27
139,5,127.16
140,1,45.8
140,2,24.03
140,3,18.25
140,4,34.05
140,5,6.06
141,1,394.03
141,2,216.43
141,3,170.58
141,4,277.6
141,5,60.48
142,1,837.54
142,2,450.75
142,3,373.64
142,4,608.7
142,5,123.04
143,1,278.33
143,2,153.83
143,3,124.17
143,4,226.85
143,5,44.04
144,1,1091.85
144,2,521.25
144,3,462.85
144,4,714.68
144,5,138.39
145,1,316.42
145,2,189.23
145,3,150.56
145,4,251.12
145,5,46.18
146,1,105.66
146,2,52.74
146,3,39.62
146,4,76.69
146,5,14.25
147,1,97.12
147,2,49.53
147,3,43.14
147,4,63.35
147,5,12.43
148,1,3076.35
148,2,1699.67
148,3,1470.21
148,4,2016.2
148,5,443.88
149,1,105.34
149,2,63.32
149,3,44.42
149,4,75.65
149,5,14.1
150,1,74.12
150,2,49.0
150,3,34.5
150,4,52.45
150,5,12.22
151,1,418.15
151,2,265.58
151,3,207.29
151,4,284.26
151,5,58.53
152,1,259.91
152,2,147.99
152,3,118.11
152,4,214.71
152,5,40.26
153,1,339.75
153,2,170.43
153,3,135.83
153,4,255.66
153,5,51.26
154,1,93.06
154,2,62.13
154,3,40.44
154,4,69.15
154,5,13.77
155,1,1377.16
155,2,866.95
155,3,642.4
155,4,962.65
155,5,208.52
156,1,431.72
156,2,224.76
156,3,178.67
156,4,301.7
156,5,65.76
157,1,547.62
157,2,339.79
157,3,254.58
157,4,406.2
157,5,74.36
158,1,71.82
158,2,41.43
158,3,32.64
158,4,57.01
158,5,11.54
159,1,165.66
159,2,99.51
159,3,64.06
159,4,105.63
159,5,22.96
160,1,513.29
160,2,291.98
160,3,248.47
160,4,381.58
160,5,81.81
161,1,527.27
161,2,311.68
161,3,214.23
161,4,365.09
161,5,71.95
162,1,101.88
162,2,56.71
162,3,46.23
162,4,69.08
162,5,14.4
163,1,89.14
163,2,50.63
163,3,42.61
163,4,60.48
163,5,13.1
164,1,101.79
164,2,57.77
164,3,46.9
164,4,79.94
164,5,15.57
165,1,143.42
165,2,72.25
165,3,52.06
165,4,99.13
165,5,17.95
166,1,306.36
166,2,180.13
166,3,116.93
166,4,204.8
166,5,43.62
167,1,742.63
167,2,378.1
167,3,276.15
167,4,512.99
167,5,102.26
168,1,312.23
168,2,210.52
168,3,145.26
168,4,270.51
168,5,53.91
169,1,120.28
169,2,65.08
169,3,54.37
169,4,92.19
169,5,16.09
170,1,291.97
170,2,177.75
170,3,136.71
170,4,225.2
170,5,42.73
171,1,803.6
171,2,433.8
171,3,355.1
171,4,544.78
171,5,112.52
172,1,266.17
172,2,135.25
172,3,112.23
172,4,174.92
172,5,36.01
173,1,135.86
173,2,80.13
173,3,60.39
173,4,84.57
173,5,16.79
174,1,739.17
174,2,425.5
174,3,285.68
174,4,509.38
174,5,103.93
175,1,339.93
175,2,185.12
175,3,142.78
175,4,241.21
175,5,49.77
176,1,496.24
176,2,311.66
176,3,241.52
176,4,417.17
176,5,72.16
177,1,2441.77
177,2,1442.73
177,3,1038.77
177,4,1977.66
177,5,398.65
178,1,229.72
178,2,121.75
178,3,93.48
178,4,174.83
178,5,36.68
179,1,507.63
179,2,307.27
179,3,228.36
179,4,392.31
179,5,69.83
180,1,145.01
180,2,83.8
180,3,58.56
180,4,102.36
180,5,18.42
181,1,1720.06
181,2,1031.75
181,3,728.35
181,4,1293.31
181,5,257.67
182,1,175.54
182,2,98.87
182,3,81.76
182,4,116.24
182,5,26.4
183,1,69.15
183,2,40.63
183,3,31.49
183,4,48.78
183,5,10.25
184,1,87.44
184,2,48.28
184,3,40.25
184,4,63.17
184,5,13.03
185,1,442.43
185,2,230.62
185,3,197.17
185,4,275.56
185,5,60.47
186,1,237.86
186,2,136.43
186,3,94.15
186,4,153.61
186,5,33.87
187,1,227.9
187,2,133.59
187,3,98.64
187,4,169.76
187,5,31.59
188,1,29.23
188,2,16.58
188,3,12.37
188,4,24.01
188,5,4.57
189,1,586.14
189,2,351.44
189,3,240.94
189,4,439.98
189,5,73.85
190,1,116.99
190,2,62.18
190,3,43.4
190,4,81.79
190,5,16.91
191,1,140.33
191,2,86.79
191,3,56.04
191,4,105.24
191,5,18.94
192,1,75.54
192,2,49.96
192,3,36.49
192,4,56.74
192,5,12.06
193,1,48.67
193,2,24.7
193,3,19.86
193,4,34.47
193,5,6.29
194,1,302.7
194,2,201.1
194,3,132.32
194,4,228.74
194,5,49.55
195,1,686.87
195,2,398.12
195,3,318.53
195,4,526.34
195,5,93.91
196,1,368.68
196,2,220.19
196,3,162.83
196,4,242.95
196,5,55.02
197,1,410.12
197,2,249.15
197,3,191.15
197,4,317.93
197,5,63.83
198,1,228.18
198,2,129.39
198,3,92.78
198,4,155.31
198,5,35.25
199,1,1572.79
199,2,963.32
199,3,650.23
199,4,1259.57
199,5,246.73
200,1,487.7
200,2,276.56
200,3,212.36
200,4,341.17
200,5,68.79
201,1,175.58
201,2,111.3
201,3,87.17
201,4,146.67
201,5,26.3
202,1,497.51
202,2,280.49
202,3,202.92
202,4,396.63
202,5,73.58
203,1,126.98
203,2,71.17
203,3,51.36
203,4,93.09
203,5,16.94
204,1,31.04
204,2,17.79
204,3,13.27
204,4,23.03
204,5,3.9
205,1,301.96
205,2,162.77
205,3,113.19
205,4,221.43
205,5,43.92
206,1,85.16
206,2,43.41
206,3,37.87
206,4,57.49
206,5,10.68
207,1,654.61
207,2,383.83
207,3,249.43
207,4,482.95
207,5,85.72
208,1,578.35
208,2,329.49
208,3,278.75
208,4,460.65
208,5,95.85
209,1,229.53
209,2,121.2
209,3,95.17
209,4,149.53
209,5,30.36
210,1,371.68
210,2,194.73
210,3,167.75
210,4,267.03
210,5,56.13
211,1,253.54
211,2,136.62
211,3,113.33
211,4,179.8
211,5,37.14
212,1,343.9
212,2,212.44
212,3,144.64
212,4,279.1
212,5,53.02
213,1,359.75
213,2,213.5
213,3,161.87
213,4,239.52
213,5,49.96
214,1,316.05
214,2,174.46
214,3,126.39
214,4,231.65
214,5,46.35
215,1,32.88
215,2,18.94
215,3,13.73
215,4,23.03
215,5,3.99
216,1,143.35
216,2,74.7
216,3,60.79
216,4,105.84
216,5,19.08
217,1,19.84
217,2,11.95
217,3,7.92
217,4,13.76
217,5,2.74
218,1,66.01
218,2,41.35
218,3,30.57
218,4,52.1
218,5,10.76
219,1,192.92
219,2,129.91
219,3,89.52
219,4,151.53
219,5,28.03
220,1,111.79
220,2,63.27
220,3,46.33
220,4,76.86
220,5,16.5
221,1,59.39
221,2,31.81
221,3,21.57
221,4,41.59
221,5,7.62
222,1,1095.4
222,2,677.55
222,3,524.36
222,4,775.22
222,5,175.39
223,1,1182.58
223,2,723.28
223,3,495.89
223,4,910.18
223,5,196.81
224,1,603.66
224,2,352.94
224,3,258.75
224,4,420.06
224,5,84.69
225,1,525.56
225,2,287.75
225,3,220.9
225,4,397.08
225,5,69.54
226,1,343.19
226,2,215.95
226,3,152.29
226,4,260.81
226,5,52.04
227,1,457.71
227,2,253.14
227,3,203.89
227,4,297.57
227,5,65.69
228,1,248.05
228,2,158.62
228,3,100.25
228,4,169.99
228,5,37.57
229,1,683.25
229,2,384.05
229,3,305.46
229,4,561.9
229,5,95.8
230,1,234.98
230,2,135.28
230,3,100.31
230,4,153.07
230,5,28.9
231,1,563.92
231,2,367.04
231,3,259.11
231,4,443.99
231,5,83.15
232,1,53.75
232,2,32.07
232,3,27.2
232,4,38.69
232,5,8.44
233,1,332.26
233,2,166.99
233,3,138.63
233,4,209.8
233,5,42.91
234,1,66.95
234,2,35.74
234,3,27.65
234,4,43.04
234,5,9.67
235,1,736.09
235,2,382.19
235,3,324.21
235,4,493.66
235,5,99.04
236,1,218.56
236,2,124.47
236,3,81.68
236,4,141.3
236,5,30.19
237,1,979.61
237,2,508.66
237,3,405.24
237,4,660.49
237,5,124.57
238,1,94.47
238,2,61.73
238,3,43.98
238,4,68.34
238,5,15.24
239,1,190.95
239,2,111.18
239,3,88.58
239,4,148.66
239,5,26.34
240,1,231.11
240,2,132.06
240,3,93.04
240,4,171.46
240,5,31.2
241,1,456.73
241,2,241.31
241,3,199.74
241,4,319.09
241,5,67.1
242,1,584.99
242,2,318.63
242,3,246.76
242,4,407.45
242,5,80.92
243,1,57.13
243,2,29.9
243,3,22.27
243,4,38.28
243,5,8.81
244,1,838.64
244,2,527.38
244,3,336.25
244,4,633.89
244,5,114.66
245,1,176.82
245,2,107.29
245,3,72.7
245,4,120.15
245,5,28.42
246,1,164.21
246,2,82.93
246,3,73.57
246,4,115.77
246,5,21.23
247,1,80.31
247,2,51.07
247,3,34.75
247,4,59.95
247,5,12.29
248,1,928.82
248,2,502.29
248,3,432.11
248,4,654.52
248,5,138.53
249,1,96.2
249,2,61.18
249,3,38.38
249,4,68.9
249,5,15.03
250,1,290.33
250,2,186.18
250,3,123.87
250,4,222.19
250,5,46.74
251,1,133.23
251,2,80.86
251,3,58.48
251,4,93.59
251,5,18.1
252,1,71.45
252,2,39.05
252,3,29.36
252,4,47.45
252,5,9.37
253,1,165.74
253,2,90.2
253,3,68.82
253,4,121.31
253,5,21.38
254,1,764.32
254,2,437.92
254,3,369.51
254,4,616.8
254,5,124.65
255,1,187.43
255,2,109.11
255,3,90.95
255,4,132.71
255,5,27.27
256,1,72.17
256,2,44.12
256,3,33.12
256,4,54.48
256,5,11.74
257,1,112.37
257,2,60.93
257,3,45.42
257,4,76.1
257,5,15.69
258,1,27.99
258,2,14.03
258,3,11.76
258,4,20.35
258,5,4.08
259,1,293.04
259,2,169.6
259,3,115.14
259,4,217.36
259,5,45.28
260,1,96.67
260,2,62.57
260,3,48.97
260,4,81.37
260,5,15.88
261,1,218.15
261,2,122.16
261,3,96.04
261,4,150.55
261,5,28.87
262,1,765.2
262,2,430.03
262,3,331.88
262,4,482.25
262,5,108.81
263,1,67.4
263,2,38.35
263,3,30.89
263,4,46.14
263,5,9.44
264,1,137.09
264,2,89.5
264,3,61.11
264,4,98.05
264,5,21.81
265,1,394.21
265,2,212.52
265,3,167.17
265,4,275.77
265,5,51.3
266,1,650.53
266,2,387.29
266,3,281.24
266,4,412.24
266,5,83.46
267,1,601.24
267,2,342.08
267,3,248.96
267,4,413.19
267,5,86.12
268,1,104.71
268,2,68.04
268,3,44.6
268,4,74.4
268,5,14.25
269,1,180.3
269,2,118.66
269,3,89.35
269,4,148.05
269,5,26.97
270,1,1002.82
270,2,518.32
270,3,376.72
270,4,664.58
270,5,142.24
271,1,177.26
271,2,90.01
271,3,65.07
271,4,129.17
271,5,25.72
272,1,73.85
272,2,42.93
272,3,31.56
272,4,53.86
272,5,10.01
273,1,241.19
273,2,131.47
273,3,95.68
273,4,156.98
273,5,36.29
274,1,19.62
274,2,12.66
274,3,9.02
274,4,16.55
274,5,2.81
275,1,102.71
275,2,56.96
275,3,41.91
275,4,72.24
275,5,15.78
276,1,155.1
276,2,92.79
276,3,70.49
276,4,103.86
276,5,20.94
277,1,569.53
277,2,283.88
277,3,210.64
277,4,384.42
277,5,75.42
278,1,98.16
278,2,61.6
278,3,44.6
278,4,81.79
278,5,14.18
279,1,960.79
279,2,512.16
279,3,400.52
279,4,624.27
279,5,141.56
280,1,183.05
280,2,118.58
280,3,84.1
280,4,129.8
280,5,26.85
281,1,848.74
281,2,448.58
281,3,366.97
281,4,636.68
281,5,107.37
282,1,43.16
282,2,26.8
282,3,21.47
282,4,34.17
282,5,6.71
283,1,366.66
283,2,211.12
283,3,159.1
283,4,263.46
283,5,52.05
284,1,167.95
284,2,99.43
284,3,82.9
284,4,120.33
284,5,24.91
285,1,712.16
285,2,350.16
285,3,297.11
285,4,439.93
285,5,101.09
286,1,1653.4
286,2,882.79
286,3,606.19
286,4,1205.27
286,5,234.51
287,1,100.36
287,2,54.84
287,3,43.33
287,4,60.14
287,5,14.42
288,1,61.64
288,2,36.65
288,3,27.65
288,4,45.89
288,5,9.36
289,1,514.14
289,2,253.2
289,3,199.98
289,4,336.61
289,5,74.11
290,1,625.6
290,2,332.52
290,3,242.93
290,4,456.07
290,5,83.95
291,1,111.52
291,2,67.39
291,3,51.06
291,4,87.25
291,5,16.67
292,1,418.52
292,2,245.08
292,3,180.72
292,4,263.37
292,5,56.92
293,1,259.85
293,2,135.18
293,3,109.73
293,4,174.72
293,5,34.96
294,1,328.28
294,2,202.19
294,3,150.13
294,4,209.1
294,5,50.18
295,1,401.57
295,2,226.68
295,3,174.08
295,4,284.51
295,5,51.84
296,1,298.51
296,2,159.2
296,3,133.4
296,4,207.65
296,5,43.1
297,1,92.01
297,2,52.95
297,3,35.39
297,4,65.27
297,5,13.14
298,1,702.99
298,2,409.71
298,3,294.26
298,4,473.73
298,5,97.96
299,1,113.63
299,2,64.62
299,3,45.74
299,4,77.3
299,5,14.67
300,1,743.6
300,2,433.18
300,3,287.0
300,4,505.74
300,5,109.02
301,1,289.22
301,2,189.11
301,3,123.9
301,4,224.37
301,5,41.78
302,1,381.7
302,2,208.2
302,3,160.45
302,4,311.91
302,5,56.58
303,1,1359.3
303,2,677.82
303,3,550.1
303,4,867.37
303,5,163.76
304,1,2814.22
304,2,1608.58
304,3,1217.16
304,4,2429.86
304,5,481.37
305,1,469.96
305,2,266.33
305,3,197.55
305,4,370.97
305,5,71.48
306,1,89.24
306,2,46.47
306,3,35.64
306,4,59.65
306,5,12.56
307,1,50.78
307,2,28.86
307,3,20.79
307,4,38.46
307,5,7.97
308,1,183.08
308,2,96.0
308,3,73.87
308,4,134.84
308,5,28.13
309,1,238.3
309,2,134.47
309,3,104.8
309,4,169.02
309,5,36.9
310,1,1867.78
310,2,1219.31
310,3,851.8
310,4,1510.05
310,5,268.68
311,1,153.79
311,2,95.99
311,3,69.85
311,4,113.55
311,5,21.41
312,1,132.32
312,2,83.65
312,3,61.19
312,4,95.01
312,5,19.52
313,1,459.5
313,2,289.46
313,3,210.81
313,4,358.45
313,5,68.66
314,1,520.17
314,2,319.24
314,3,236.43
314,4,408.38
314,5,82.37
315,1,118.7
315,2,73.28
315,3,49.19
315,4,90.99
315,5,17.28
316,1,296.55
316,2,190.71
316,3,132.67
316,4,217.75
316,5,43.45
317,1,295.22
317,2,178.78
317,3,114.62
317,4,227.73
317,5,42.57
318,1,260.5
318,2,132.22
318,3,100.79
318,4,188.15
318,5,38.83
319,1,415.55
319,2,248.75
319,3,186.89
319,4,287.5
319,5,60.57
320,1,948.07
320,2,537.42
320,3,402.95
320,4,677.69
320,5,139.01
321,1,38.48
321,2,22.28
321,3,18.73
321,4,27.74
321,5,5.97
322,1,639.41
322,2,355.98
322,3,274.55
322,4,469.56
322,5,98.09
323,1,278.98
323,2,152.27
323,3,110.81
323,4,191.43
323,5,38.02
324,1,403.33
324,2,255.64
324,3,169.99
324,4,285.68
324,5,62.06
325,1,85.54
325,2,50.95
325,3,33.92
325,4,63.99
325,5,12.11
326,1,33.06
326,2,19.21
326,3,13.87
326,4,25.35
326,5,5.06
327,1,255.6
327,2,121.26
327,3,100.29
327,4,156.34
327,5,33.14
328,1,249.68
328,2,127.53
328,3,111.02
328,4,184.8
328,5,35.95
329,1,616.95
329,2,347.29
329,3,224.11
329,4,421.79
329,5,78.82
330,1,1066.05
330,2,609.64
330,3,467.99
330,4,705.41
330,5,139.45
331,1,232.11
331,2,130.99
331,3,94.56
331,4,151.49
331,5,34.98
332,1,1113.23
332,2,587.12
332,3,487.14
332,4,807.18
332,5,140.9
333,1,270.28
333,2,159.71
333,3,106.64
333,4,194.15
333,5,36.29
334,1,917.2
334,2,462.01
334,3,327.88
334,4,583.41
334,5,130.53
335,1,143.2
335,2,88.26
335,3,59.0
335,4,119.52
335,5,21.82
336,1,1291.75
336,2,680.66
336,3,573.33
336,4,852.34
336,5,202.16
337,1,51.64
337,2,27.96
337,3,19.0
337,4,31.71
337,5,6.9
338,1,820.31
338,2,464.13
338,3,307.27
338,4,570.22
338,5,109.45
339,1,40.92
339,2,26.27
339,3,18.86
339,4,30.89
339,5,6.27
340,1,661.09
340,2,333.37
340,3,253.23
340,4,456.94
340,5,90.21
341,1,344.07
341,2,205.44
341,3,157.99
341,4,254.01
341,5,53.85
342,1,439.15
342,2,274.57
342,3,193.38
342,4,344.02
342,5,68.21
343,1,71.5
343,2,39.46
343,3,33.03
343,4,49.72
343,5,10.84
344,1,95.45
344,2,52.96
344,3,37.02
344,4,70.4
344,5,14.42
345,1,21.21
345,2,12.23
345,3,10.09
345,4,14.13
345,5,3.33
346,1,201.57
346,2,129.28
346,3,98.68
346,4,156.78
346,5,34.96
347,1,881.88
347,2,516.45
347,3,371.45
347,4,575.54
347,5,133.91
348,1,836.69
348,2,435.59
348,3,345.11
